<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
240205;193000;15932;15948;15930;15948;464
240205;194500;15948;15950;15946;15950;380
240205;200000;15950;15950;15946;15948;1723
240205;201500;15948;15948;15946;15946;410
240205;203000;15948;15950;15946;15948;530
240205;204500;15948;15958;15946;15958;453
240205;210000;15956;15966;15948;15966;474
240205;211500;15962;15964;15952;15956;270
240205;213000;15958;15960;15946;15954;364
240205;214500;15954;15966;15954;15964;742
240205;220000;15964;15970;15964;15966;576
240205;221500;15966;15970;15962;15968;119
240205;223000;15968;15970;15962;15964;182
240205;224500;15964;15966;15960;15960;98
240205;230000;15966;15970;15964;15970;222
240205;231500;15970;15970;15962;15962;162
240205;233000;15960;15960;15946;15950;755
240205;234500;15952;15952;15946;15950;63
240206;100000;15958;16048;15940;16022;9331
240206;101500;16022;16026;15988;16020;3943
240206;103000;16022;16032;16000;16020;2834
240206;104500;16018;16030;16016;16028;901
240206;110000;16030;16034;16012;16018;1236
240206;111500;16018;16018;16000;16004;732
240206;113000;16004;16006;16000;16002;1341
240206;114500;16004;16006;15990;16000;870
240206;120000;15994;16004;15990;16002;987
240206;121500;16002;16006;15990;15998;797
240206;123000;15996;15996;15976;15982;844
240206;124500;15988;15990;15978;15982;607
240206;130000;15982;15992;15974;15974;699
240206;131500;15978;15988;15952;15952;1347
240206;133000;15954;15966;15954;15956;559
240206;134500;15956;15972;15956;15968;369
240206;140000;15972;15982;15962;15962;713
240206;141500;15964;15974;15962;15968;339
240206;143000;15970;15970;15960;15960;293
240206;144500;15962;15972;15960;15970;557
240206;150000;15970;15974;15962;15964;405
240206;151500;15962;15964;15960;15960;883
240206;153000;15960;15978;15960;15968;1151
240206;154500;15962;15978;15952;15956;1775
240206;160000;15956;15960;15912;15930;9870
240206;161500;15932;15946;15920;15928;2562
240206;163000;15928;15940;15922;15924;1092
240206;164500;15924;15944;15924;15932;853
240206;170000;15932;15944;15928;15932;758
240206;171500;15932;15938;15926;15936;972
240206;173000;15936;15938;15918;15918;2489
240206;174500;15920;15936;15918;15924;942
240206;180000;15924;15948;15924;15938;995
240206;181500;15940;15954;15938;15946;577
240206;183000;15942;15952;15938;15946;434
240206;184500;15956;15956;15956;15956;2632
240206;190000;15950;15962;15950;15958;406
240206;191500;15958;15958;15952;15956;117
240206;193000;15956;15970;15954;15964;337
240206;194500;15968;15970;15954;15962;511
240206;200000;15966;15976;15966;15970;367
240206;201500;15970;15970;15962;15966;103
240206;203000;15964;15964;15946;15954;529
240206;204500;15954;15964;15954;15962;54
240206;210000;15964;15964;15960;15962;48
240206;211500;15962;15962;15942;15944;287
240206;213000;15944;15948;15944;15948;1756
240206;214500;15946;15960;15946;15956;640
240206;220000;15952;15956;15948;15948;202
240206;221500;15950;15960;15950;15952;247
240206;223000;15952;15954;15946;15946;107
240206;224500;15946;15952;15946;15946;285
240206;230000;15946;15950;15944;15950;611
240206;231500;15948;15952;15944;15948;252
240206;233000;15948;15950;15944;15946;261
240206;234500;15946;15952;15944;15944;144
240207;100000;15942;15980;15938;15960;2975
240207;101500;15960;15974;15950;15972;1020
240207;103000;15970;15996;15966;15994;2448
240207;104500;15994;16038;15988;16028;8199
240207;110000;16030;16042;16028;16034;3371
240207;111500;16032;16034;16006;16026;3836
240207;113000;16024;16024;15976;15976;3269
240207;114500;15980;15986;15956;15956;9695
240207;120000;15958;15962;15950;15950;2102
240207;121500;15950;15954;15950;15954;1281
240207;123000;15954;15958;15946;15948;3215
240207;124500;15946;15952;15944;15946;1834
240207;130000;15944;15958;15944;15958;2662
240207;131500;15958;15964;15948;15952;924
240207;133000;15952;15956;15946;15952;1121
240207;134500;15950;15956;15948;15954;857
240207;140000;15952;15968;15950;15962;1575
240207;141500;15962;15966;15956;15960;759
240207;143000;15964;15966;15956;15958;768
240207;144500;15958;15964;15958;15960;1253
240207;150000;15958;15962;15952;15960;889
240207;151500;15960;15960;15952;15952;827
240207;153000;15958;15960;15952;15960;991
240207;154500;15960;15960;15952;15952;1305
240207;160000;15952;15954;15952;15952;581
240207;161500;15954;15954;15948;15954;860
240207;163000;15954;15954;15950;15952;407
240207;164500;15950;15954;15948;15952;1524
240207;170000;15950;15954;15942;15952;1458
