<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
USD000UTSTOM;15;240110;151500;89.14;29215000
USD000UTSTOM;15;240110;153000;89.3175;14362000
USD000UTSTOM;15;240110;154500;89.365;9287000
USD000UTSTOM;15;240110;160000;89.3925;30897000
USD000UTSTOM;15;240110;161500;89.515;11623000
USD000UTSTOM;15;240110;163000;89.495;13627000
USD000UTSTOM;15;240110;164500;89.4;22445000
USD000UTSTOM;15;240110;170000;89.4725;10776000
USD000UTSTOM;15;240110;171500;89.52;4498000
USD000UTSTOM;15;240110;173000;89.5125;10200000
USD000UTSTOM;15;240110;174500;89.4;12091000
USD000UTSTOM;15;240110;180000;89.4875;4875000
USD000UTSTOM;15;240110;181500;89.43;4584000
USD000UTSTOM;15;240110;183000;89.3725;6531000
USD000UTSTOM;15;240110;184500;89.33;4131000
USD000UTSTOM;15;240111;070000;89.2475;4524000
USD000UTSTOM;15;240111;071500;89.385;3400000
USD000UTSTOM;15;240111;073000;89.3275;1073000
USD000UTSTOM;15;240111;074500;89.3425;1447000
USD000UTSTOM;15;240111;080000;89.3;4751000
USD000UTSTOM;15;240111;081500;89.3125;4719000
USD000UTSTOM;15;240111;083000;89.31;1614000
USD000UTSTOM;15;240111;084500;89.3625;4994000
USD000UTSTOM;15;240111;090000;89.295;10556000
USD000UTSTOM;15;240111;091500;89.22;12165000
USD000UTSTOM;15;240111;093000;89.0275;26594000
USD000UTSTOM;15;240111;094500;88.7825;23916000
USD000UTSTOM;15;240111;100000;88.665;41800000
USD000UTSTOM;15;240111;101500;88.76;65974000
USD000UTSTOM;15;240111;103000;88.6875;56623000
USD000UTSTOM;15;240111;104500;88.79;21478000
USD000UTSTOM;15;240111;110000;88.665;49784000
USD000UTSTOM;15;240111;111500;88.8075;32864000
USD000UTSTOM;15;240111;113000;88.8925;22893000
USD000UTSTOM;15;240111;114500;88.765;28117000
USD000UTSTOM;15;240111;120000;88.8325;43952000
USD000UTSTOM;15;240111;121500;88.8475;70614000
USD000UTSTOM;15;240111;123000;88.8125;20488000
USD000UTSTOM;15;240111;124500;88.825;28799000
USD000UTSTOM;15;240111;130000;88.8075;23173000
USD000UTSTOM;15;240111;131500;88.835;24697000
USD000UTSTOM;15;240111;133000;88.85;27806000
USD000UTSTOM;15;240111;134500;88.8125;13375000
USD000UTSTOM;15;240111;140000;88.785;14802000
USD000UTSTOM;15;240111;141500;88.7625;12842000
USD000UTSTOM;15;240111;143000;88.8025;10249000
USD000UTSTOM;15;240111;144500;88.7925;13673000
USD000UTSTOM;15;240111;150000;88.815;18047000
USD000UTSTOM;15;240111;151500;88.84;12856000
USD000UTSTOM;15;240111;153000;88.7425;12026000
USD000UTSTOM;15;240111;154500;88.795;43144000
USD000UTSTOM;15;240111;160000;88.8;16759000
USD000UTSTOM;15;240111;161500;88.82;16935000
USD000UTSTOM;15;240111;163000;88.8975;28208000
USD000UTSTOM;15;240111;164500;88.8875;17211000
USD000UTSTOM;15;240111;170000;88.65;16951000
USD000UTSTOM;15;240111;171500;88.7375;26044000
USD000UTSTOM;15;240111;173000;88.6675;10241000
USD000UTSTOM;15;240111;174500;88.75;23169000
USD000UTSTOM;15;240111;180000;88.6925;21888000
USD000UTSTOM;15;240111;181500;88.52;27030000
USD000UTSTOM;15;240111;183000;88.5275;7394000
USD000UTSTOM;15;240111;184500;88.59;4561000
USD000UTSTOM;15;240112;070000;88.355;4975000
USD000UTSTOM;15;240112;071500;88.3825;1449000
USD000UTSTOM;15;240112;073000;88.4025;3353000
USD000UTSTOM;15;240112;074500;88.51;8063000
USD000UTSTOM;15;240112;080000;88.53;3506000
USD000UTSTOM;15;240112;081500;88.4025;2792000
USD000UTSTOM;15;240112;083000;88.4375;1723000
USD000UTSTOM;15;240112;084500;88.44;1517000
USD000UTSTOM;15;240112;090000;88.4075;9695000
USD000UTSTOM;15;240112;091500;88.465;7361000
USD000UTSTOM;15;240112;093000;88.3975;6354000
USD000UTSTOM;15;240112;094500;88.1825;22824000
USD000UTSTOM;15;240112;100000;88.22;69447000
USD000UTSTOM;15;240112;101500;88.105;67005000
USD000UTSTOM;15;240112;103000;88.165;53939000
USD000UTSTOM;15;240112;104500;88.155;56996000
USD000UTSTOM;15;240112;110000;88.125;30094000
USD000UTSTOM;15;240112;111500;88.1025;58283000
USD000UTSTOM;15;240112;113000;87.99;65125000
USD000UTSTOM;15;240112;114500;88.075;55289000
USD000UTSTOM;15;240112;120000;88.1125;28074000
USD000UTSTOM;15;240112;121500;88.0325;40429000
USD000UTSTOM;15;240112;123000;88.0425;24418000
USD000UTSTOM;15;240112;124500;88.17;37596000
USD000UTSTOM;15;240112;130000;88.195;34502000
USD000UTSTOM;15;240112;131500;88.105;42496000
USD000UTSTOM;15;240112;133000;88.165;12711000
USD000UTSTOM;15;240112;134500;88.18;26230000
USD000UTSTOM;15;240112;140000;88.185;36209000
USD000UTSTOM;15;240112;141500;88.1475;22214000
USD000UTSTOM;15;240112;143000;88.1475;27034000
USD000UTSTOM;15;240112;144500;88.1225;17139000
USD000UTSTOM;15;240112;150000;88.145;6248000
USD000UTSTOM;15;240112;151500;88.18;27402000
USD000UTSTOM;15;240112;153000;88.1975;16157000
USD000UTSTOM;15;240112;154500;88.4025;41323000
USD000UTSTOM;15;240112;160000;88.425;37021000
USD000UTSTOM;15;240112;161500;88.465;20079000
USD000UTSTOM;15;240112;163000;88.3925;40085000
