,code,year,hdi,country,epi,population,gdp_per_capita,co2_emission_per_capita,forest_area,ghg_emission
254,ESP,1955,0.34,,,,,,,
255,LKA,1955,0.28,,,,,,,
256,SDN,1955,0.08,,,,,,,
257,SWE,1955,0.48,,,,,,,
258,CHE,1955,0.48,,,,,,,
259,SYR,1955,0.18,,,,,,,
260,TWN,1955,0.26,,,,,,,
261,TZA,1955,0.09,,,,,,,
262,THA,1955,0.21,,,,,,,
263,TGO,1955,0.08,,,,,,,
264,TTO,1955,0.34,,,,,,,
265,TUN,1955,0.13,,,,,,,
266,TUR,1955,0.18,,,,,,,
267,UGA,1955,0.12,,,,,,,
268,ARE,1955,0.15,,,,,,,
269,GBR,1955,0.49,,,,,,,
270,USA,1955,0.49,,,,,,,
271,URY,1955,0.37,,,,,,,
272,VEN,1955,0.25,,,,,,,
273,VNM,1955,0.14,,,,,,,
274,ZMB,1955,0.13,,,,,,,
275,ZWE,1955,0.15,,,,,,,
276,AFG,1960,0.06,,,,,,,
277,ALB,1960,0.27,,,,,,,
278,DZA,1960,0.15,,,,,,,
279,AGO,1960,0.06,,,,,,,
280,ARG,1960,0.38,,,,,,,
281,AUS,1960,0.51,,,,,,,
282,AUT,1960,0.46,,,,,,,
283,BHS,1960,0.37,,,,,,,
284,BHR,1960,0.25,,,,,,,
285,BGD,1960,0.1,,,,,,,
286,BRB,1960,0.4,,,,,,,
287,BEL,1960,0.48,,,,,,,
288,BLZ,1960,0.28,,,,,,,
289,BEN,1960,0.09,,,,,,,
290,BOL,1960,0.15,,,,,,,
291,BWA,1960,0.12,,,,,,,
292,BRA,1960,0.23,,,,,,,
293,BGR,1960,0.38,,,,,,,
294,BFA,1960,0.06,,,,,,,
295,BDI,1960,0.09,,,,,,,
296,KHM,1960,0.14,,,,,,,
297,CMR,1960,0.1,,,,,,,
298,CAN,1960,0.53,,,,,,,
299,CPV,1960,0.14,,,,,,,
300,CAF,1960,0.1,,,,,,,
301,TCD,1960,0.06,,,,,,,
302,CHL,1960,0.32,,,,,,,
303,CHN,1960,0.15,,,,,,,
304,COL,1960,0.24,,,,,,,
305,COG,1960,0.13,,,,,,,
306,CRI,1960,0.31,,,,,,,
307,CIV,1960,0.1,,,,,,,
308,CUB,1960,0.33,,,,,,,
309,CYP,1960,0.36,,,,,,,
310,CZE,1960,0.47,,,,,,,
311,COD,1960,0.12,,,,,,,
312,DNK,1960,0.49,,,,,,,
313,DJI,1960,0.1,,,,,,,
314,DOM,1960,0.23,,,,,,,
315,ECU,1960,0.24,,,,,,,
316,EGY,1960,0.16,,,,,,,
317,SLV,1960,0.2,,,,,,,
318,GNQ,1960,0.13,,,,,,,
319,ERI,1960,0.06,,,,,,,
320,SWZ,1960,0.13,,,,,,,
321,ETH,1960,0.05,,,,,,,
322,FIN,1960,0.47,,,,,,,
323,FRA,1960,0.49,,,,,,,
324,GAB,1960,0.15,,,,,,,
325,GMB,1960,0.06,,,,,,,
326,DEU,1960,0.47,,,,,,,
327,GHA,1960,0.15,,,,,,,
328,GRC,1960,0.35,,,,,,,
329,GTM,1960,0.16,,,,,,,
330,GIN,1960,0.06,,,,,,,
331,GNB,1960,0.07,,,,,,,
332,GUY,1960,0.3,,,,,,,
333,HTI,1960,0.12,,,,,,,
334,HND,1960,0.18,,,,,,,
335,HKG,1960,0.31,,,,,,,
336,HUN,1960,0.43,,,,,,,
337,IND,1960,0.14,,,,,,,
338,IDN,1960,0.15,,,,,,,
339,IRN,1960,0.15,,,,,,,
340,IRQ,1960,0.17,,,,,,,
341,IRL,1960,0.46,,,,,,,
342,ISR,1960,0.43,,,,,,,
343,ITA,1960,0.39,,,,,,,
344,JAM,1960,0.33,,,,,,,
345,JPN,1960,0.45,,,,,,,
346,JOR,1960,0.2,,,,,,,
347,KEN,1960,0.14,,,,,,,
348,KWT,1960,0.3,,,,,,,
349,LAO,1960,0.11,,,,,,,
350,LBN,1960,0.26,,,,,,,
351,LSO,1960,0.15,,,,,,,
352,LBR,1960,0.1,,,,,,,
353,LBY,1960,0.16,,,,,,,
354,MDG,1960,0.14,,,,,,,
355,MWI,1960,0.11,,,,,,,
356,MYS,1960,0.23,,,,,,,
357,MLI,1960,0.06,,,,,,,
358,MRT,1960,0.06,,,,,,,
359,MUS,1960,0.28,,,,,,,
360,MEX,1960,0.26,,,,,,,
361,MAR,1960,0.13,,,,,,,
362,MOZ,1960,0.1,,,,,,,
363,MMR,1960,0.15,,,,,,,
364,NAM,1960,0.14,,,,,,,
365,NPL,1960,0.08,,,,,,,
366,NLD,1960,0.51,,,,,,,
367,NZL,1960,0.53,,,,,,,
368,NIC,1960,0.19,,,,,,,
369,NER,1960,0.04,,,,,,,
370,NGA,1960,0.1,,,,,,,
371,NOR,1960,0.5,,,,,,,
372,OMN,1960,0.1,,,,,,,
373,PAK,1960,0.11,,,,,,,
374,PAN,1960,0.29,,,,,,,
375,PRY,1960,0.29,,,,,,,
376,PER,1960,0.23,,,,,,,
377,PHL,1960,0.25,,,,,,,
378,POL,1960,0.41,,,,,,,
379,PRT,1960,0.29,,,,,,,
380,PRI,1960,0.4,,,,,,,
381,QAT,1960,0.26,,,,,,,
382,ROU,1960,0.34,,,,,,,
383,RUS,1960,0.42,,,,,,,
384,RWA,1960,0.11,,,,,,,
385,SAU,1960,0.09,,,,,,,
386,SEN,1960,0.09,,,,,,,
387,SRB,1960,0.33,,,,,,,
388,SLE,1960,0.07,,,,,,,
389,SGP,1960,0.3,,,,,,,
390,ZAF,1960,0.23,,,,,,,
391,KOR,1960,0.25,,,,,,,
392,ESP,1960,0.38,,,,,,,
393,LKA,1960,0.29,,,,,,,
394,SDN,1960,0.09,,,,,,,
395,SWE,1960,0.5,,,,,,,
