<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZA;30;231108;120000;1019.5000000;1019.5000000;1017.5000000;1017.5000000;50
GAZA;30;231108;123000;1017.0000000;1017.0000000;1017.0000000;1017.0000000;20
GAZA;30;231108;130000;1019.5000000;1024.0000000;1019.0000000;1024.0000000;280
GAZA;30;231108;140000;1025.0000000;1025.0000000;1025.0000000;1025.0000000;10
GAZA;30;231108;153000;1025.0000000;1025.0000000;1025.0000000;1025.0000000;20
GAZA;30;231108;160000;1021.5000000;1044.5000000;1017.5000000;1044.0000000;540
GAZA;30;231108;163000;1033.5000000;1033.5000000;1029.5000000;1029.5000000;30
GAZA;30;231108;170000;1029.5000000;1029.5000000;1017.5000000;1017.5000000;270
GAZA;30;231108;173000;1018.0000000;1027.0000000;1018.0000000;1018.5000000;50
GAZA;30;231108;180000;1026.5000000;1026.5000000;1026.5000000;1026.5000000;10
GAZA;30;231108;183000;1020.5000000;1020.5000000;1020.0000000;1020.0000000;50
GAZA;30;231109;100000;1027.5000000;1027.5000000;1027.5000000;1027.5000000;10
GAZA;30;231109;103000;1028.0000000;1028.0000000;1021.0000000;1027.0000000;40
GAZA;30;231109;110000;1021.0000000;1021.0000000;1021.0000000;1021.0000000;10
GAZA;30;231109;113000;1021.0000000;1021.5000000;1021.0000000;1021.5000000;20
GAZA;30;231109;120000;1021.5000000;1021.5000000;1021.5000000;1021.5000000;10
GAZA;30;231109;123000;1021.5000000;1021.5000000;1021.5000000;1021.5000000;10
GAZA;30;231109;133000;1021.5000000;1021.5000000;1021.5000000;1021.5000000;30
GAZA;30;231109;143000;1021.5000000;1021.5000000;1021.5000000;1021.5000000;10
GAZA;30;231109;150000;1021.5000000;1025.0000000;1017.5000000;1025.0000000;190
GAZA;30;231109;163000;1023.0000000;1023.0000000;1023.0000000;1023.0000000;10
GAZA;30;231109;173000;1024.0000000;1024.0000000;1024.0000000;1024.0000000;10
GAZA;30;231110;100000;1019.5000000;1019.5000000;1017.5000000;1017.5000000;20
GAZA;30;231110;103000;1017.5000000;1026.5000000;1017.5000000;1026.5000000;100
GAZA;30;231110;110000;1026.5000000;1027.0000000;1026.5000000;1026.5000000;140
GAZA;30;231110;113000;1029.5000000;1039.0000000;1027.5000000;1035.5000000;320
GAZA;30;231110;120000;1027.0000000;1030.0000000;1018.5000000;1018.5000000;200
GAZA;30;231110;123000;1019.0000000;1023.0000000;1018.0000000;1023.0000000;110
GAZA;30;231110;130000;1017.5000000;1017.5000000;1015.0000000;1015.0000000;120
GAZA;30;231110;133000;1017.5000000;1020.0000000;895.0000000;980.0000000;1920
GAZA;30;231110;140000;980.0000000;1007.0000000;974.0000000;1007.0000000;560
GAZA;30;231110;143000;1004.0000000;1006.5000000;991.5000000;991.5000000;90
GAZA;30;231110;150000;990.5000000;998.0000000;979.0000000;979.0000000;330
GAZA;30;231110;153000;980.0000000;980.0000000;935.5000000;959.5000000;880
GAZA;30;231110;160000;953.5000000;1024.0000000;925.0000000;1003.0000000;2860
GAZA;30;231110;163000;1005.5000000;1005.5000000;1003.0000000;1003.0000000;100
GAZA;30;231110;170000;1002.5000000;1002.5000000;932.0000000;966.5000000;1280
GAZA;30;231110;173000;975.5000000;982.5000000;975.5000000;982.0000000;260
GAZA;30;231110;180000;976.5000000;981.5000000;975.0000000;981.5000000;250
GAZA;30;231110;183000;981.0000000;992.5000000;981.0000000;992.5000000;190
GAZA;30;231113;100000;970.0000000;988.0000000;951.0000000;988.0000000;510
GAZA;30;231113;103000;988.0000000;988.0000000;973.5000000;974.0000000;90
GAZA;30;231113;110000;979.0000000;979.0000000;971.5000000;972.0000000;40
GAZA;30;231113;113000;970.0000000;976.0000000;906.0000000;926.0000000;1290
GAZA;30;231113;120000;926.0000000;946.5000000;909.0000000;921.5000000;540
GAZA;30;231113;123000;945.5000000;955.0000000;913.5000000;918.0000000;370
GAZA;30;231113;130000;918.0000000;927.0000000;915.5000000;924.0000000;130
GAZA;30;231113;133000;926.5000000;958.5000000;924.0000000;935.5000000;540
GAZA;30;231113;140000;935.5000000;940.5000000;930.0000000;940.0000000;240
GAZA;30;231113;143000;940.0000000;940.0000000;940.0000000;940.0000000;20
GAZA;30;231113;150000;930.0000000;932.5000000;909.0000000;932.5000000;760
GAZA;30;231113;153000;928.5000000;930.5000000;917.5000000;927.0000000;130
GAZA;30;231113;160000;926.5000000;926.5000000;918.0000000;918.0000000;20
GAZA;30;231113;163000;920.0000000;925.0000000;917.5000000;917.5000000;100
GAZA;30;231113;170000;920.0000000;920.0000000;910.5000000;910.5000000;170
GAZA;30;231113;173000;910.5000000;912.0000000;907.0000000;912.0000000;500
GAZA;30;231113;180000;912.0000000;916.0000000;906.5000000;915.0000000;290
GAZA;30;231113;183000;912.0000000;913.5000000;907.0000000;913.5000000;60
GAZA;30;231114;100000;907.0000000;907.0000000;816.0000000;829.0000000;2220
GAZA;30;231114;103000;817.5000000;829.0000000;772.0000000;820.0000000;1580
GAZA;30;231114;110000;821.0000000;846.5000000;800.0000000;826.5000000;3670
GAZA;30;231114;113000;817.0000000;848.0000000;810.0000000;841.5000000;910
GAZA;30;231114;120000;823.0000000;852.0000000;822.5000000;851.5000000;1010
GAZA;30;231114;123000;851.0000000;851.5000000;840.0000000;851.5000000;120
GAZA;30;231114;130000;850.0000000;850.0000000;825.5000000;825.5000000;190
GAZA;30;231114;133000;839.0000000;839.0000000;818.0000000;818.0000000;210
GAZA;30;231114;140000;826.5000000;826.5000000;810.5000000;817.0000000;130
GAZA;30;231114;143000;818.5000000;818.5000000;756.0000000;797.5000000;1190
GAZA;30;231114;150000;797.5000000;799.0000000;780.5000000;791.0000000;400
GAZA;30;231114;153000;791.0000000;827.5000000;782.0000000;827.5000000;760
GAZA;30;231114;160000;820.0000000;827.0000000;820.0000000;827.0000000;60
GAZA;30;231114;163000;825.0000000;833.0000000;817.5000000;833.0000000;740
GAZA;30;231114;170000;828.0000000;833.5000000;822.5000000;833.5000000;140
GAZA;30;231114;173000;833.0000000;834.5000000;816.5000000;829.0000000;320
GAZA;30;231114;180000;826.0000000;834.0000000;821.0000000;834.0000000;190
GAZA;30;231114;183000;822.5000000;836.5000000;800.0000000;809.0000000;1180
GAZA;30;231115;100000;809.0000000;809.0000000;772.5000000;807.5000000;1420
GAZA;30;231115;103000;807.0000000;827.0000000;807.0000000;821.5000000;440
GAZA;30;231115;110000;821.5000000;828.0000000;820.0000000;820.0000000;170
GAZA;30;231115;113000;820.0000000;834.5000000;819.5000000;834.5000000;60
GAZA;30;231115;120000;835.0000000;835.0000000;819.5000000;819.5000000;90
GAZA;30;231115;123000;819.5000000;836.5000000;819.0000000;835.5000000;210
GAZA;30;231115;130000;834.0000000;837.0000000;829.5000000;837.0000000;130
GAZA;30;231115;133000;836.5000000;839.0000000;829.5000000;829.5000000;170
GAZA;30;231115;140000;837.0000000;843.5000000;837.0000000;839.5000000;110
GAZA;30;231115;143000;838.5000000;860.0000000;838.5000000;860.0000000;610
GAZA;30;231115;150000;847.0000000;860.5000000;837.5000000;842.0000000;670
GAZA;30;231115;153000;850.0000000;856.0000000;842.5000000;856.0000000;110
GAZA;30;231115;160000;860.0000000;860.0000000;860.0000000;860.0000000;10
GAZA;30;231115;163000;860.0000000;880.0000000;860.0000000;867.5000000;650
GAZA;30;231115;170000;877.5000000;883.5000000;877.5000000;882.0000000;150
GAZA;30;231115;173000;880.0000000;880.0000000;866.0000000;874.0000000;790
GAZA;30;231115;180000;867.5000000;875.5000000;867.5000000;870.0000000;210
GAZA;30;231115;183000;867.5000000;867.5000000;862.5000000;862.5000000;190
GAZA;30;231116;100000;862.5000000;898.0000000;862.5000000;898.0000000;1210
GAZA;30;231116;103000;886.5000000;899.0000000;879.5000000;879.5000000;700
